,pred
351,183474.06126693173
352,141001.07191976448
353,119661.75526780028
354,161021.38655372825
355,374145.13221174286
356,124696.2837701636
357,183742.85617213213
358,223937.3095793751
359,341004.367620398
360,187146.45528884
361,240316.70081236874
362,116718.46257376856
363,200153.59541330414
364,180906.37504607358
365,149046.9937016413
366,178462.1738252268
367,206505.69293464362
368,106421.7413379825
369,396083.7518147396
370,203684.3619150036
371,231821.44237700576
372,351776.69482420164
373,231351.11989719875
374,346769.65615171794
375,243610.81904132402
376,105287.1632432586
377,203035.28056433992
378,241842.5108676602
379,213679.49400386662
380,223254.72391445134
381,336888.1206854434
382,181474.56673023885
383,218367.9300973657
384,242806.6218284478
385,190226.16403930058
386,225532.38605274193
387,148871.46967441647
388,141076.77288172874
389,208055.72794956592
390,241616.98654976522
391,284654.19369007566
392,269982.694317237
393,146072.03317397746
394,152393.74770302977
395,272880.6253388395
396,175889.52983664468
397,201531.10366289626
398,239669.9264056944
399,184130.45222133282
400,150534.5260955947
401,177277.62315027337
402,274300.28755288484
403,217825.81460160716
404,310010.21115569916
405,182830.92869341574
406,163950.89577363554
407,192746.92432636453
408,165061.77015747066
409,176087.6409800609
410,201560.52252828688
411,193746.6615886585
412,288675.899768601
413,197082.2596856303
414,242149.07628862577
415,120023.94650102063
416,198580.4772149026
417,283576.8655035466
418,165409.7781658559
419,164906.50220575093
420,183103.14696989633
421,216925.57232706813
422,162246.53447098238
423,410933.55682053644
424,345654.495829295
425,307332.7826759723
426,191215.13026861378
427,169807.32528707228
428,166386.9971429247
429,173923.74537497622
430,268861.1561065641
431,375898.85535969934
432,168777.72481482045
433,291583.3389391194
434,156778.4861492781
435,158111.2630212125
436,330350.67906099226
437,163923.60190683365
438,178438.04006245406
439,210316.491895839
440,266832.49589984963
441,137873.7401429638
442,348989.4605320971
443,323627.7217397898
444,237955.00683190097
445,148314.1507686425
446,141153.214609268
447,144909.50247771404
448,126772.30877021444
449,149603.26655312112
450,147002.70376813455
451,163552.1857488617
452,329737.98321103165
453,165991.1562591445
454,146739.85400604364
455,204951.40669205922
456,198154.8906923161
457,157801.57697947582
458,138335.14754393333
459,180900.3585320827
460,166202.74333819374
461,163920.89359708413
462,237349.87713877144
463,307320.5622822689
464,173547.87219479447
465,247859.70368651106
466,192935.5752619999
467,289816.340792094
468,91471.31434943265
469,207688.77956482783
470,320043.239911971
471,290507.92712018045
472,309473.3151584384
473,255707.32169624374
474,173180.3062946028
475,303079.62289298995
476,165491.152362743
477,171435.78428339126
478,200036.19655383867
479,160489.0712555987
480,213750.2787210222
481,145336.39807573703
482,157877.6162045127
483,282962.66584729304
484,104082.14069498422
485,212326.43675234218
486,249921.12532716573
487,246820.4393356296
488,181281.7719644447
489,213035.00253304312
490,70445.85849345177
491,146191.4475535724
492,127809.54087144812
493,172541.67377096214
494,144962.39948751393
495,271438.74393080256
496,143246.04843568336
497,175429.77388919445
498,235474.49145072704
499,112866.47960191073
500,329025.7494537091
501,252373.2110493006
502,178954.70567345998
503,211764.18116391927
504,200956.07813347707
505,334002.5052111376
506,324274.5824917289
507,174845.97218107356
508,168352.88191801615
509,209123.9809892486
510,337327.1295560256
511,264232.09833960404
512,241910.86328115937
513,286587.40337525384
514,69563.09728672294
515,265255.8081859528
516,371641.3696038763
517,228116.9785560417
518,230595.2337171268
519,177601.65961188747
520,218237.58198368558
521,187940.79613601696
522,184585.94291573655
523,160503.46348501355
524,160160.87993969797
525,272819.97083175776
526,233024.30260015422
527,309560.6856085208
528,257381.78204727548
529,172168.69583954464
530,243617.7052663082
531,337523.4332901876
532,176329.51310352678
533,373647.0896899372
534,179807.8688904378
535,84466.52137636863
536,213447.37714996183
537,189090.48520524657
538,163126.71607809112
539,149872.0560843589
540,112826.29283587394
541,167126.6411687369
542,244949.39909947774
543,165792.4464133556
544,170063.9823531337
545,108162.3378993654
546,133225.5469162069
547,274753.2201568836
548,194254.12751435468
549,175977.26532276356
550,249293.38080365886
551,173488.41705715444
552,142969.3980672246
553,136411.5131545771
554,166684.11681750292
555,132513.5686394408
556,171958.72107655762
557,183744.27448397645
558,215653.1578842726
559,83555.19540280206
560,376655.6958367027
561,157273.55080028187
562,278936.6412495031
563,125557.05143624946
564,158570.87904905435
565,271775.3876099203
566,379989.4031974305
567,177540.8053575946
568,138914.18247039206
569,220158.76749643986
570,432536.81640025537
571,148322.41920467644
572,104322.29738040933
573,197794.6937870276
574,285990.99904640135
575,289004.2992949324
576,182898.75392694943
577,320829.74175188784
578,178354.76929363815
579,127189.25719774162
580,321516.1796664128
581,242315.30548923614
582,425251.3280867418
583,363669.1878487342
584,324847.5890465671
585,265114.1160431407
586,182358.5842629191
587,356372.02343549684
588,184197.8633509067
589,319103.5613453102
590,220958.46101075757
591,171495.94613269044
592,200672.97258249825
593,243370.71772145532
594,313661.7658787061
595,180373.5833239196
596,204246.45332670514
597,257364.84701268075
598,129537.7533146224
599,323445.2535879584
600,179906.8929942114
601,189321.5052806426
602,161859.84805931264
603,210063.8060130215
604,231734.2400760849
605,180920.9111506725
606,207118.8917204351
607,191548.07518450296
608,192403.98538190132
609,177039.36989168814
610,207545.6783974937
611,188697.01432666823
612,161422.6864113474
613,308148.8200068231
614,377798.43319101154
615,212748.87631826694
616,213355.26933241967
617,219961.3104665619
618,169661.62048637154
619,118002.42059740411
620,281270.5292621511
621,203079.74053670256
622,242477.76955694758
623,201608.85242946152
624,237417.3817780629
625,156294.96876062048
626,180245.39414301014
627,215355.71108713787
628,290788.5960068521
629,185836.31234694805
630,208386.15255052308
631,188689.61531218814
632,257555.12512528765
633,199992.906114183
634,181411.78272181062
635,223867.09035298065
636,157758.5047285965
637,252598.44469530502
638,187065.23882655983
639,321560.7702674147
640,192631.50835071557
641,180458.59057506552
642,145799.17041442913
643,196758.75694705505
644,387626.9054263596
645,196577.51068391462
646,313862.6965941211
647,159252.5046876678
648,332151.8176467792
649,321745.81199520227
650,213703.31086100018
651,253199.17518552634
652,210565.4875158972
653,187403.52982789435
654,375113.57046880317
655,239657.4157944853
656,155606.7285570636
657,248156.94490846663
658,289298.2290822364
659,367832.37982687604
660,217637.93441179194
661,219487.45501539568
662,258388.13901121964
663,165823.42722102685
664,146152.94178047328
665,160492.72821378036
666,179620.85857572535
667,181690.69895119438
668,212146.2207127268
669,71740.62190592701
670,127586.9629594208
671,426777.1124647377
672,269430.71661563544
673,239448.41919122144
674,131603.9476516911
675,263012.9452683947
676,285526.1208267033
677,166746.07234001925
678,81502.40083917933
679,223912.14316601754
680,253999.54632917332
681,179687.7510404373
682,158026.52445216125
683,151332.56021219766
684,186409.5206140436
685,230882.84520274337
686,203607.42478138866
687,277784.6324769426
688,224725.78725009772
689,143730.07956470706
690,231328.22487334782
691,205685.721203103
692,149372.66970656233
693,244184.17408114206
694,175605.935865295
695,160903.24089847322
696,238602.29316491284
697,164021.36699123
698,154166.31672601457
699,105356.06331186637
700,193918.46999048808
701,194030.58412381564
702,194663.4191108776
703,338610.94741649186
704,229109.97833856946
705,187661.40216937754
706,243281.34442099225
707,217428.6826013675
708,326937.0120814029
709,119159.68746342893
710,399242.1890778466
711,250979.4995561729
712,175663.43839954227
713,246899.84562748403
714,111475.43644795488
715,485450.85350631847
716,371183.8071112928
717,130140.98231864428
718,124305.61461111029
719,236016.37288298318
720,374890.4530441545
721,127761.2701123778
722,156786.96914657654
723,353490.7117929291
724,144761.30261577602
725,196262.17729390008
726,131111.16462903473
727,282299.5261786592
728,312155.1351640547
729,143031.7428675312
730,185817.3760625225
731,152215.67024626417
732,203219.3046086569
733,189153.7496505331
734,249172.54891179368
735,151993.20464809766
736,183297.52301100048
737,175254.43891676786
738,363757.81790687726
739,180842.5992775529
740,161204.0952012999
741,280099.6322904155
742,117619.20584813281
743,127524.96482505758
744,238756.7792392671
745,141346.8139510591
746,167973.3755110388
747,261239.23419199922
748,112544.07622150704
749,145906.71391680095
750,116741.46423817116
751,286040.04133643757
752,193144.72533290248
753,157549.10806718693
754,279265.5581538027
755,208285.2835117724
756,300808.8345118731
757,122638.29935462517
758,150495.18913029673
759,241161.55043727683
760,322295.26514460304
761,288739.7862779467
762,146988.7709246374
763,150854.8648830016
764,263233.86458517786
765,172548.45856105184
766,178424.80196763208
767,224675.51585113656
768,198868.02010874887
769,223224.71009478963
770,398005.6782308435
771,372849.07119662076
772,157293.15909924143
773,183273.41257067252
774,337165.05938472034
775,185841.54013290585
776,345156.4549912774
777,481590.3217840074
778,168106.25954447224
779,179678.52458979527
780,164632.8208595994
781,137746.8739162003
782,240508.11064151334
783,206401.3492599389
784,151724.4799011126
785,226985.23051215746
786,195906.92632002084
787,270698.299623334
788,244099.23378608003
789,149417.19536441567
790,162603.25391244318
791,138327.9431655579
792,135188.87588035726
793,164321.97758499073
794,165618.6266803446
795,202468.67215003874
796,167407.68716051773
797,327220.7780228049
798,205473.6908448467
799,172691.08865275208
800,175653.2664273282
801,127400.41716691195
802,330330.1813413989
803,238676.43136263013
804,179995.5889372263
805,176413.83079204912
806,173879.66432609395
807,136832.42409170434
808,158672.36071616368
809,189370.0442703642
810,197052.97932339367
811,286495.58877699706
812,104108.33481309528
813,208895.3701948779
814,150864.07928614298
815,183206.69331480903
816,334555.1849550643
817,179147.97402611925
818,179169.3720461974
819,207109.36126781083
820,353931.256157462
821,183485.25996479078
822,141507.59337550506
823,144864.3077045005
824,132828.41687169514
825,318179.10706499906
826,191980.38516751069
827,70507.44046366746
828,202268.91045364633
829,206591.79094412213
830,139884.59403361016
831,178172.925725465
832,258006.94132498154
833,255925.42767088927
834,152617.69462014595
835,147381.8069982798
836,147820.98275976855
837,147947.60164166824
838,407983.36680320755
839,172508.43722893635
840,169467.95372250048
841,315694.30147318024
842,240925.79064544005
843,164281.12075714234
844,376732.6089927112
845,135385.55905156158
846,146905.75048420246
847,70389.53480515875
848,138559.9307829313
849,259381.90360112698
850,278922.5676409474
851,184471.7124546797
852,240099.4919334448
853,243470.1601401098
854,257397.7817354816
855,174124.1512209264
856,266806.3695881862
857,148210.80571831795
858,137458.2854062681
859,126144.78991433121
860,281315.57330356515
861,242105.60995196755
862,206218.66711170596
863,176748.11985764428
864,145160.08010351437
865,179724.7566449144
866,297033.29093689274
867,179350.04712413688
868,310019.6776883936
869,194049.2334299914
870,298536.5081493847
871,173248.5636086713
872,243940.7198896891
873,210449.7266903932
874,178464.69341115394
875,256214.1104354376
876,171382.4002004655
877,270267.4629879167
878,183691.59671227026
879,234065.12233527683
880,192661.0446872913
881,210930.6138416257
882,155019.84174311106
883,200883.9520596237
884,230235.95036078466
885,241686.42324847073
886,139117.22732649904
887,207105.07606261995
888,246930.16384690622
889,147674.49077452326
890,170602.9270894167
891,216005.40887068817
892,239425.1889165419
893,175291.8786284024
894,154109.8986883193
895,325994.05782831775
896,120068.23418715695
897,172953.38350165568
898,183514.12140653192
899,316007.9849342903
900,229026.6114872608
901,183428.39950099227
902,111737.5574456083
903,158243.63030770514
904,243642.9278290139
905,382311.0099107235
906,265762.96764053794
907,237068.30032224618
908,168525.63153474397
909,259187.1679647808
910,160776.60097381021
911,203769.42949310443
912,399358.0895823812
913,128445.32574004788
914,203657.1156425874
915,194962.55920260822
916,234323.89399057478
917,318510.2342698893
918,148929.58599656165
919,215502.4105363526
920,183558.9035355375
921,207388.057037689
922,221549.55921499972
923,104322.29738040933
924,244060.92398924456
925,206136.72949621783
926,222386.73404454725
927,242399.2794961506
928,388082.8900766769
929,383975.501583771
930,164387.72852267852
931,212997.68364327977
932,196507.1033635387
933,149724.7472940824
934,236383.6949896071
935,215457.60537901774
936,235411.0341802634
937,244394.1456289875
938,174062.60990785965
939,90336.39425741305
940,170898.6880459921
941,292780.0199512747
942,199023.95476462384
943,146879.1624168423
944,335997.6009984097
945,173819.77425218117
946,350487.10095804604
947,217626.56172553106
948,85097.45061606453
949,159707.94972581093
950,209795.64520598485
951,174174.87768212045
952,296361.4767666005
953,183800.16071773408
954,105039.3251289335
955,199720.04983042052
956,274019.659127369
957,289148.5712136429
958,121528.60459742641
959,246829.55084829827
960,301711.2907523761
961,196633.47660989553
962,180384.8072028538
963,397168.3981016143
964,263510.8014616973
965,179027.14149924292
966,249629.7925545477
967,134834.99011812967
968,257038.73761155235
969,291344.073851465
970,193766.3699721783
971,183317.9463727045
972,175658.05777493856
973,179995.5889372263
974,177193.04044534286
975,289465.61782187934
976,202612.43595190824
977,157480.13959697864
978,346170.3999694301
979,182350.5166095341
980,121644.70427882904
981,276939.0390460125
982,170737.50561567105
983,231506.93268590514
984,305714.0381600039
985,179892.42254437646
986,112486.41711527189
987,248834.83891058434
988,128596.33988919563
989,171109.28128300575
990,357380.95998702396
991,227421.35785506945
992,267411.00519058114
993,194666.22407003032
994,382841.8702376966
995,322977.62146605604
996,120085.72837220061
997,158307.41794360097
998,174928.51060235818
999,214357.314843113
1000,201177.5104159493
1001,107304.05391138615
1002,144288.87017288437
1003,192871.84343911105
1004,344249.54958348966
1005,127463.69171435093
1006,286525.7586112224
1007,336694.37155319465
1008,224687.71618562235
1009,212506.3278049517
1010,440613.96603225067
1011,254529.62543268868
1012,221614.64139320105
1013,211159.69206668044
1014,112514.37684668037
1015,215840.47097919392
1016,201859.15773914766
1017,399107.21826370264
1018,313155.43283205054
1019,287968.6184707128
1020,211232.56815870636
1021,215712.10606375552
1022,280195.3084343354
1023,88136.1855792035
1024,352942.20615396235
1025,173522.5104052386
1026,159893.37738430809
1027,317230.53636408923
1028,216937.87795590164
1029,140687.07604187104
1030,113544.9002709222
1031,220832.80837059615
1032,216246.65000382325
1033,244228.50265098564
1034,127736.57519315716
1035,245605.73358197376
1036,234828.6987339709
1037,183901.49493814027
1038,204812.22086999915
1039,394388.3231251375
1040,351453.1848383785
1041,154578.75005139492
1042,169375.81324996814
1043,189564.5760479751
1044,314079.36189543724
1045,201470.14009128924
1046,196990.2477595937
1047,180401.63007435453
1048,219086.6804419881
1049,213114.51812190565
1050,300453.275902734
1051,175825.20286253522
1052,185346.6357678471
1053,177247.17625466603
1054,126212.49241870694
1055,234103.02882305827
1056,127524.96482505758
1057,221797.18705076128
1058,176358.52853956653
1059,178244.21571611887
1060,201058.60787297686
1061,165058.36680995123
1062,245572.0113715992
1063,163841.8971241235
1064,363788.70536497096
1065,183038.7447299821
1066,188054.45369747016
1067,198079.96396958036
1068,236569.7868106925
1069,353543.08072716824
1070,161711.02150294243
1071,90550.3103408777
1072,225301.412725094
1073,205562.35898673272
1074,364439.3634067906
1075,390888.1870941825
1076,180837.90543295903
1077,242020.83059556372
1078,149267.79202429112
1079,198808.03619539266
1080,183267.7284133219
1081,290418.89262102527
1082,169026.26473783684
1083,147027.87743800852
1084,177628.52224273945
1085,265895.12163285667
1086,148195.81857892155
1087,386009.4189186916
1088,241685.4908576157
1089,73252.00270953152
1090,140731.29490127802
1091,240993.07730015658
1092,202342.65695180267
1093,239976.29220813862
1094,231379.22358726445
1095,306511.33569484606
1096,127736.57519315716
1097,220205.1068755888
1098,438906.891071578
1099,259610.36476279522
1100,128842.24878476028
1101,116640.49540121126
1102,160549.22458148224
1103,262403.8725878873
1104,191874.50291093977
1105,304383.7702821565
1106,188789.48158920472
1107,215573.90747792134
1108,192417.4065778577
1109,191129.56776537598
1110,200070.40821442357
1111,80896.99424393618
1112,318445.6018992139
1113,102880.40514882315
1114,424043.74468153703
1115,235023.15617021313
1116,216093.18934534714
1117,246501.0510646694
1118,292316.3563647297
1119,360967.8907754737
1120,291306.5872864575
1121,324071.2812607379
1122,179435.6200395995
1123,263532.60095424426
1124,183252.5656142086
1125,185902.92474963085
1126,138129.35423360157
1127,147051.21330617287
1128,326563.94340948254
1129,294384.49870399095
1130,166286.53673819613
1131,130909.21413503721
1132,198447.4993819204
1133,138010.415068615
1134,202788.1558106073
1135,155478.32646350862
1136,201475.56345845675
1137,251201.16451529783
1138,248447.37012561486
1139,183243.77554409092
1140,129725.60368829277
1141,268060.60620260006
1142,242983.4555969588
1143,178063.44536877002
1144,125971.28966883678
1145,169314.71946342834
1146,168015.22243627824
1147,203969.36535982796
1148,324461.5303119116
1149,204041.4459186583
1150,204298.30404703546
1151,175019.31632496606
1152,155019.61208496
1153,335940.7746349156
1154,161001.25593260597
1155,181990.1186791454
1156,64878.87376175834
1157,337111.052261148
1158,242164.57295780355
1159,181202.3841870106
1160,146710.67708656
1161,249060.28613781513
1162,199402.44846753211
1163,344993.1134650881
1164,252936.7557064115
1165,145718.69374548277
1166,190140.98219626464
1167,199982.3728191614
1168,249778.25136206835
1169,352684.4375363218
1170,218427.87304553596
1171,202455.52881168757
1172,287121.13658462034
1173,159462.25824753926
1174,203762.48316463205
1175,292318.92193534377
1176,201864.79774902493
1177,85490.31047043423
1178,271614.83837799693
1179,180825.04920502112
1180,205253.45751668233
1181,200080.9648273697
1182,326715.38897943584
1183,102850.83530050774
1184,291358.99778918485
1185,149619.72391464116
1186,236646.08619362485
1187,268800.0760154729
1188,237067.96177351527
1189,173176.33311782693
1190,182232.23594458017
1191,267776.8815763946
1192,248523.4488448238
1193,178428.7915634573
1194,143772.29006068874
1195,183128.89879100234
1196,166554.74898121093
1197,127773.87959471103
1198,270003.9289012304
1199,151384.47952731722
1200,112527.24003569469
1201,427921.5236114464
1202,169135.80167524487
1203,213733.0847394563
1204,317422.6838644411
1205,159161.600021226
1206,236799.50666633903
1207,177142.0924871435
1208,192248.49994374198
1209,227823.73123634825
1210,187648.84150418476
1211,159095.43598483218
1212,179307.34143353632
1213,296985.30069498235
1214,168296.44593539313
1215,184463.9443745216
1216,146335.06354168002
1217,121959.52598397528
1218,268814.8075711127
1219,205623.69636564734
1220,156761.023700794
1221,283666.1739697965
1222,196293.53084579873
1223,165415.58422078055
1224,134231.10393610643
1225,179700.37493662984
1226,241392.56452282777
1227,210511.08106051368
1228,221834.71991078032
1229,200695.3390932944
1230,256999.73491729618
1231,277695.88876233395
1232,208472.1712978357
1233,130497.54680442162
1234,360346.41606225766
1235,178764.87752484207
1236,202082.23496407695
1237,202211.72190149597
1238,181612.80171295803
1239,177332.4800551103
1240,293976.6384314414
1241,124504.64443273332
1242,213574.009492132
1243,256854.60682701776
1244,174381.35671328162
1245,329246.1342998579
1246,177397.1027787858
1247,170384.29955711172
1248,155791.94440880127
1249,377546.2501497415
1250,334883.33838814416
1251,231419.18982138357
1252,176380.669931856
1253,394803.1760901546
1254,116368.35944007087
1255,197933.90706945915
1256,146900.9182088593
1257,192463.70583271995
1258,148093.9952350094
1259,225712.0509807473
1260,135843.98773667307
1261,141615.0361945506
1262,290185.9994440973
1263,211362.97555353047
1264,239922.21301747294
1265,113301.07577458702
1266,232675.4964624312
1267,378492.7062599024
1268,276291.4130602205
1269,367036.75886927324
1270,166469.02798164438
1271,110285.34956096462
1272,239592.86274939062
1273,177899.74171260756
1274,178530.76287247936
1275,233073.96425497235
1276,189588.28856886755
1277,196232.76042741467
1278,204590.15069943474
1279,310065.1293721479
1280,223476.3810457831
1281,146964.46073227748
1282,307307.8648591925
1283,111898.66304904764
1284,186893.2235589036
1285,211406.3221072708
1286,128280.88286115912
1287,172418.88873218893
1288,183822.1183484298
1289,216008.69742481428
1290,220660.38920910715
1291,120800.57204094972
1292,117380.88251188505
1293,183019.49842580225
1294,147844.0505738133
1295,285539.589629463
1296,283695.16445614555
1297,198742.254509181
1298,182166.72879570094
1299,221193.5107959478
1300,320960.4164681672
1301,374306.1239522783
1302,226440.30104374606
1303,130882.96235470554
1304,270627.6699646114
1305,269548.5741693505
1306,175796.58771193112
1307,71307.7660468521
1308,134956.1299207953
1309,407727.51542792685
1310,175082.89213393148
1311,198823.74767982133
1312,211173.26596256168
1313,471042.1118867492
1314,164637.88982126734
1315,127526.38808919201
1316,326888.9106766689
1317,250521.75431245894
1318,342396.9149751532
1319,193074.3066845657
1320,116586.08251718852
1321,151686.51734542297
1322,175199.82324038036
1323,277514.7630707664
1324,242933.41653727475
1325,150628.25376468917
1326,174256.21203858804
1327,312151.61903971987
1328,284234.71840089554
1329,164350.26439811452
1330,244045.9060656469
1331,212671.33679158986
1332,190403.576784762
1333,142113.4043644178
1334,225246.13347784636
1335,168352.7659034541
1336,230502.68939141592
1337,158630.8053076314
1338,127168.60273336591
1339,269727.56305424555
1340,398362.2530214149
1341,186257.66560526929
1342,316044.3766372343
1343,209150.42750904057
1344,243982.79782560395
1345,104396.78081164807
1346,167011.44575392478
1347,125994.64178345208
1348,160505.0886165436
1349,132966.85578607133
1350,220498.33352168935
1351,183345.8973407088
1352,212997.68364327977
1353,148300.46240003526
1354,326173.1132896424
1355,193789.25865656417
1356,184072.19195115578
1357,402764.2421307495
1358,322299.34829051705
1359,184207.39843530554
1360,316479.3842735936
1361,139699.22524977932
1362,172020.00196778533
1363,311098.4465283719
1364,198333.5396447794
1365,110183.87224017836
1366,127710.91156895882
